Key,Avg_CPU_Usage,Avg_Memory_MB,Duration_s,Estimated_Heat
machine_96341908,50.0,78.77,0.0,0.0002
class_3,0.0,78.77,0.0,0.0
collection_type_1,0.0,78.77,0.0,0.0
priority_4,0.0,78.77,0.0,0.0
overall,0.0,78.77,0.0,0.0
machine_712104421,0.0,78.77,0.0,0.0
class_1,0.0,78.77,0.0,0.0
priority_2,0.0,78.77,0.0,0.0
machine_816434060,0.0,78.77,0.0,0.0
collection_type_0,0.0,78.77,0.0,0.0
priority_6,0.0,78.77,0.0,0.0
machine_292742843,0.0,78.77,0.0,0.0
machine_455133905,0.0,78.78,0.0,0.0
priority_1,0.0,78.78,0.0,0.0
machine_347237736,0.0,78.78,0.0,0.0
class_4,0.0,78.78,0.0,0.0
machine_70279238,0.0,78.78,0.0,0.0
priority_0,0.0,78.78,0.0,0.0
machine_226801816,0.0,78.78,0.0,0.0
priority_7,0.0,78.78,0.0,0.0
machine_88521065,0.0,78.78,0.0,0.0
machine_762898678,0.0,78.78,0.0,0.0
machine_822845052,0.0,78.78,0.0,0.0
machine_288744577,0.0,78.78,0.0,0.0
class_2,0.0,78.78,0.0,0.0
priority_5,0.0,78.78,0.0,0.0
machine_770565125,0.0,78.78,0.0,0.0
machine_431494252,0.0,78.78,0.0,0.0
machine_555401548,0.0,78.78,0.0,0.0
machine_511979969,0.0,78.78,0.0,0.0
machine_560721446,0.0,78.78,0.0,0.0
machine_593916678,0.0,78.78,0.0,0.0
priority_3,0.0,78.78,0.0,0.0
machine_628108963,0.0,78.78,0.0,0.0
priority_8,0.0,78.78,0.0,0.0
machine_362555690,0.0,78.78,0.0,0.0
class_0,0.0,78.78,0.0,0.0
machine_204313325,0.0,78.78,0.0,0.0
machine_137167059,0.0,78.78,0.0,0.0
machine_666067466,0.0,78.78,0.0,0.0
machine_24891799,0.0,78.78,0.0,0.0
machine_638796314,0.0,78.78,0.0,0.0
machine_206089101,0.0,78.78,0.0,0.0
